Order_ID,Order_Date,Customer_ID,Customer_Name,Region,City,Category,Sub_Category,Product_Name,Quantity,Price,Discount,Payment_Mode,Shipping_Cost,Cost_Price
32,2022/09/10,2760,Aditya Singh,West,Ahmedabad,Beauty,Fragrance,Fragrance - Model 216,1,3610,11,Debit Card,329,2090.85
33,2022/11/14,1069,Ishita Kapoor,West,Jaipur,Beauty,Skincare,Skincare - Model 376,5,1427,11,Debit Card,112,1246.33
34,2023/07/04,7142,Ishita Gupta,West,Ahmedabad,Beauty,Haircare,Haircare - Model 228,3,2515,20,Debit Card,210,1975.84
35,2023/06/12,8580,Karan Sharma,South,Hyderabad,Beauty,Makeup,Makeup - Model 964,4,831,11,Debit Card,83,467.1
36,2023/07/22,2107,Karan Sharma,West,Mumbai,Clothing,Shirt,Shirt - Model 166,4,2217,12,UPI,61,1957.37
37,2023/12/15,4097,Neha Singh,East,Patna,Clothing,Jacket,Jacket - Model 666,4,2682,14,UPI,157,1850.1
38,2022/11/15,2630,Sneha Reddy,East,Bhubaneswar,Beauty,Makeup,Makeup - Model 865,5,2336,20,Credit Card,372,1967.16
39,2022/10/23,7816,Aarav Gupta,East,Guwahati,Home,Furniture,Furniture - Model 327,4,13954,8,COD,313,10853.52
40,2022/09/03,3621,Aditya Reddy,East,Kolkata,Home,Kitchenware,Kitchenware - Model 656,1,5681,29,Debit Card,106,3364.2
41,2022/03/13,9754,Aditya Iyer,South,Kochi,Beauty,Haircare,Haircare - Model 823,1,3207,20,UPI,64,1941.38
42,2022/06/30,1133,Karan Kapoor,West,Surat,Sports,Cycling,Cycling - Model 125,1,17730,7,Credit Card,138,13312.06
43,2023/08/17,9371,Sneha Singh,East,Patna,Home,Bedding,Bedding - Model 425,2,2817,3,Debit Card,50,2137.12
44,2022/09/17,4867,Sneha Iyer,North,Jaipur,Sports,Fitness Equipment,Fitness Equipment - Model 211,2,10563,13,Debit Card,187,5886.87
45,2022/03/31,9373,Priya Verma,West,Pune,Sports,Cycling,Cycling - Model 483,5,15036,11,COD,231,12048.7
46,2023/09/29,9174,Neha Sharma,West,Surat,Home,Furniture,Furniture - Model 923,2,3252,28,Debit Card,79,2635.27
47,2023/09/27,3998,Rohan Nair,South,Bangalore,Beauty,Makeup,Makeup - Model 728,5,3827,11,COD,231,1953.79
48,2022/08/29,2617,Ishita Gupta,West,Surat,Clothing,Jeans,Jeans - Model 822,5,1340,8,Credit Card,355,1046.21
49,2022/02/28,4474,Sneha Kapoor,North,Lucknow,Electronics,Smartwatch,Smartwatch - Model 863,2,58382,7,UPI,420,37781.13
50,2023/10/06,1824,Priya Sharma,South,Chennai,Beauty,Haircare,Haircare - Model 275,4,3565,24,Credit Card,166,1888.58
51,2022/04/11,9219,Ananya Kapoor,North,Lucknow,Sports,Cricket Gear,Cricket Gear - Model 356,4,6536,28,Debit Card,195,4972.62
52,2022/03/08,1647,Ishita Reddy,South,Hyderabad,Electronics,Smartwatch,Smartwatch - Model 108,4,28690,22,COD,288,14355.64
53,2023/11/04,2728,Ananya Verma,West,Ahmedabad,Sports,Fitness Equipment,Fitness Equipment - Model 980,5,19069,9,UPI,312,13470.34
54,2022/06/28,4637,Aditya Nair,South,Kochi,Clothing,Kurti,Kurti - Model 618,2,2536,20,Credit Card,403,1374.92
55,2023/05/29,2879,Ananya Kapoor,West,Ahmedabad,Clothing,Shirt,Shirt - Model 374,5,2506,21,Debit Card,154,1559.9
56,2022/07/24,8083,Ananya Kapoor,West,Jaipur,Sports,Cricket Gear,Cricket Gear - Model 124,5,15192,12,COD,401,11641.09
57,2023/09/20,8371,Aditya Iyer,East,Guwahati,Beauty,Makeup,Makeup - Model 113,1,1892,28,COD,98,1096.39
58,2022/12/08,2279,Neha Singh,North,Jaipur,Home,Bedding,Bedding - Model 388,1,8772,20,COD,309,5703.28
59,2022/10/30,1233,Ishita Iyer,East,Patna,Beauty,Skincare,Skincare - Model 779,3,677,5,Debit Card,100,475.07
60,2022/05/30,9256,Ishita Verma,South,Bangalore,Home,Decor,Decor - Model 276,4,7685,5,UPI,383,6373.49
61,2023/03/10,8952,Aditya Singh,East,Bhubaneswar,Electronics,Headphones,Headphones - Model 684,1,57162,22,UPI,433,31162.87
62,2022/01/27,3622,Aditya Sharma,North,Lucknow,Electronics,Laptop,Laptop - Model 864,5,57135,5,Debit Card,441,43490.24
63,2023/05/29,2152,Aarav Sharma,North,Lucknow,Electronics,Mobile,Mobile - Model 442,5,15405,28,UPI,113,9569.22
64,2022/01/07,6326,Neha Mehta,East,Kolkata,Beauty,Makeup,Makeup - Model 150,4,1395,29,UPI,479,1112.58
65,2023/01/06,7646,Sneha Verma,South,Chennai,Clothing,Jacket,Jacket - Model 788,1,2734,5,COD,226,2064.77
66,2022/03/03,6202,Sneha Patel,West,Surat,Beauty,Skincare,Skincare - Model 968,3,1899,19,Debit Card,95,1308.3
67,2022/01/21,4113,Aarav Iyer,West,Mumbai,Electronics,Smartwatch,Smartwatch - Model 121,2,42666,5,Credit Card,68,27232.65
68,2022/07/25,8258,Vivaan Nair,South,Chennai,Beauty,Fragrance,Fragrance - Model 199,1,4910,17,COD,375,4107.72
69,2022/09/12,5026,Aarav Mehta,South,Chennai,Clothing,Shirt,Shirt - Model 217,4,2206,3,COD,431,1806.86
70,2022/07/30,4152,Rohan Gupta,West,Mumbai,Clothing,Kurti,Kurti - Model 115,1,2547,13,Credit Card,144,1700.56
71,2022/02/07,9694,Sneha Verma,East,Ranchi,Home,Bedding,Bedding - Model 249,2,19429,29,Credit Card,423,17046.71
72,2022/09/05,5554,Neha Iyer,East,Bhubaneswar,Sports,Cricket Gear,Cricket Gear - Model 458,1,11467,16,Debit Card,171,8344.69
73,2023/06/13,1493,Aditya Kapoor,South,Bangalore,Electronics,Mobile,Mobile - Model 475,5,38084,17,COD,264,22290.79
74,2022/11/21,7223,Ishita Sharma,South,Kochi,Sports,Cricket Gear,Cricket Gear - Model 242,5,19908,5,Debit Card,275,12007.12
75,2023/12/03,2723,Priya Singh,North,Jaipur,Sports,Cycling,Cycling - Model 681,3,22908,21,COD,236,14558.97
76,2022/08/29,2780,Rohan Nair,North,Jaipur,Electronics,Smartwatch,Smartwatch - Model 512,1,61901,25,Credit Card,248,51001.54
77,2022/02/24,8069,Ishita Kapoor,West,Mumbai,Clothing,Jacket,Jacket - Model 536,2,3272,4,Credit Card,478,2878.63
78,2023/03/22,4752,Rohan Mehta,West,Mumbai,Clothing,Jacket,Jacket - Model 222,3,551,20,COD,185,353.99
79,2023/02/01,4783,Karan Mehta,West,Mumbai,Beauty,Makeup,Makeup - Model 511,4,1008,4,Debit Card,344,511.06
80,2023/01/06,3890,Sneha Sharma,East,Patna,Clothing,Jacket,Jacket - Model 737,4,4357,1,UPI,333,2304.06
81,2023/12/09,6393,Karan Nair,East,Bhubaneswar,Clothing,Shirt,Shirt - Model 234,2,4300,3,UPI,358,3867.26
82,2022/11/10,8342,Karan Patel,West,Jaipur,Home,Bedding,Bedding - Model 219,4,15925,8,UPI,378,8826.26
83,2022/11/05,7636,Karan Kapoor,West,Surat,Sports,Cycling,Cycling - Model 774,2,17067,21,Credit Card,206,9032.66
84,2023/07/19,4047,Vivaan Verma,North,Amritsar,Electronics,Laptop,Laptop - Model 694,2,39278,1,COD,99,20062.36
85,2022/10/04,8901,Neha Reddy,South,Coimbatore,Home,Kitchenware,Kitchenware - Model 216,3,13183,22,Debit Card,284,7195.45
86,2023/04/11,4471,Rohan Sharma,North,Delhi,Electronics,Laptop,Laptop - Model 257,3,18531,12,Debit Card,66,9383.04
87,2022/08/02,3105,Vivaan Verma,East,Ranchi,Sports,Cricket Gear,Cricket Gear - Model 628,3,3226,1,Credit Card,141,2756.42
88,2023/08/03,4235,Sneha Nair,West,Jaipur,Electronics,Headphones,Headphones - Model 515,1,59501,9,UPI,320,46976.28
89,2022/10/18,7416,Rohan Iyer,South,Chennai,Beauty,Skincare,Skincare - Model 712,2,2849,21,Debit Card,475,1693.59
90,2022/12/21,4038,Rohan Gupta,North,Amritsar,Electronics,Mobile,Mobile - Model 400,2,38314,9,COD,158,29604.68
91,2023/11/21,1636,Ananya Gupta,East,Bhubaneswar,Electronics,Laptop,Laptop - Model 398,2,61130,24,UPI,241,49528.27
92,2023/02/04,4302,Aarav Sharma,South,Kochi,Beauty,Fragrance,Fragrance - Model 868,2,4486,22,UPI,246,3386.11
93,2022/07/04,8593,Sneha Reddy,East,Bhubaneswar,Beauty,Skincare,Skincare - Model 269,5,3187,17,Debit Card,118,2061.75
94,2023/10/13,8847,Vivaan Gupta,South,Bangalore,Home,Decor,Decor - Model 367,2,12190,27,UPI,183,7992.39
95,2022/12/28,6893,Aarav Kapoor,East,Kolkata,Clothing,Jeans,Jeans - Model 817,4,1762,3,Debit Card,125,1280.82
96,2022/07/09,7096,Aditya Gupta,South,Coimbatore,Electronics,Headphones,Headphones - Model 443,5,15557,17,Debit Card,192,12042.32
97,2023/05/17,9028,Aditya Sharma,North,Jaipur,Sports,Fitness Equipment,Fitness Equipment - Model 284,4,5284,0,COD,418,3769.71
98,2023/12/20,8576,Karan Kapoor,East,Bhubaneswar,Electronics,Smartwatch,Smartwatch - Model 272,5,17128,10,COD,359,12927.55
99,2023/02/13,1324,Sneha Patel,South,Bangalore,Clothing,Jacket,Jacket - Model 750,1,1623,2,UPI,105,962.26
100,2023/02/01,4723,Karan Patel,East,Bhubaneswar,Beauty,Fragrance,Fragrance - Model 570,4,2517,28,Debit Card,250,1449.63
101,2022/04/22,3176,Aarav Gupta,South,Coimbatore,Beauty,Skincare,Skincare - Model 744,4,3365,17,COD,486,1797.55
102,2022/10/06,8524,Vivaan Sharma,West,Jaipur,Beauty,Makeup,Makeup - Model 839,3,4529,18,UPI,389,2941.42
103,2022/08/26,4080,Aditya Kapoor,West,Jaipur,Electronics,Headphones,Headphones - Model 407,3,25828,3,UPI,280,20788.28
104,2023/10/25,9666,Karan Nair,East,Patna,Home,Furniture,Furniture - Model 362,4,1178,16,UPI,326,713.97
105,2023/03/09,7399,Aarav Sharma,West,Pune,Electronics,Smartwatch,Smartwatch - Model 992,3,65337,6,UPI,491,57866.84
106,2023/10/13,1463,Ishita Iyer,North,Lucknow,Electronics,Smartwatch,Smartwatch - Model 667,5,15676,24,COD,114,13826.96
107,2023/04/18,9864,Neha Gupta,South,Hyderabad,Home,Kitchenware,Kitchenware - Model 209,3,9204,15,UPI,215,7995.41
108,2022/11/27,6066,Aditya Reddy,East,Kolkata,Clothing,Kurti,Kurti - Model 609,3,2597,10,UPI,242,1544.24
109,2022/04/17,3546,Rohan Iyer,West,Surat,Clothing,Shirt,Shirt - Model 641,5,2863,30,Debit Card,471,1457.79
110,2023/07/30,3707,Karan Singh,North,Chandigarh,Home,Decor,Decor - Model 450,2,14396,28,Credit Card,447,10716.9
111,2022/10/13,4855,Ishita Nair,North,Lucknow,Sports,Fitness Equipment,Fitness Equipment - Model 631,2,8132,5,UPI,336,5494.01
112,2023/03/24,5458,Aarav Singh,West,Pune,Electronics,Smartwatch,Smartwatch - Model 126,4,40667,15,Debit Card,158,23423.15
113,2022/07/14,8815,Aditya Singh,East,Ranchi,Beauty,Haircare,Haircare - Model 441,5,2838,21,UPI,438,2403.58
114,2022/05/27,4273,Ishita Reddy,East,Guwahati,Beauty,Fragrance,Fragrance - Model 549,2,3212,9,UPI,396,2666.97
115,2022/10/20,1743,Aditya Gupta,East,Bhubaneswar,Beauty,Fragrance,Fragrance - Model 732,3,770,3,UPI,67,472.25
116,2022/11/21,1448,Rohan Nair,West,Pune,Clothing,Shirt,Shirt - Model 107,4,1098,18,Credit Card,325,595.45
117,2023/08/29,7657,Karan Patel,West,Surat,Electronics,Headphones,Headphones - Model 171,5,11886,1,UPI,175,8577.07
118,2022/11/05,9601,Ishita Kapoor,North,Jaipur,Home,Decor,Decor - Model 416,2,10268,13,UPI,270,8256.6
119,2023/03/15,1315,Ananya Iyer,West,Jaipur,Home,Bedding,Bedding - Model 515,5,19491,27,Debit Card,123,14081.2
120,2022/07/21,6036,Rohan Singh,West,Ahmedabad,Electronics,Smartwatch,Smartwatch - Model 954,3,31689,21,Debit Card,50,19271.35
121,2023/10/27,3138,Sneha Gupta,South,Coimbatore,Electronics,Headphones,Headphones - Model 592,2,29353,23,COD,401,18267.05
122,2023/01/14,2456,Aditya Singh,North,Chandigarh,Sports,Shoes,Shoes - Model 633,1,13020,21,UPI,367,10148.32
123,2023/01/20,6712,Priya Iyer,South,Bangalore,Beauty,Haircare,Haircare - Model 305,5,2796,19,Debit Card,196,2396.79
124,2022/03/22,7060,Sneha Reddy,West,Surat,Clothing,Jeans,Jeans - Model 504,2,3329,26,COD,245,1773.94
125,2023/05/20,3476,Aarav Iyer,East,Bhubaneswar,Clothing,Jacket,Jacket - Model 895,4,541,25,UPI,128,275.42
126,2023/09/29,4263,Rohan Sharma,West,Mumbai,Beauty,Haircare,Haircare - Model 308,5,2923,19,COD,266,1464.12
127,2023/09/12,8019,Neha Kapoor,West,Pune,Sports,Cycling,Cycling - Model 343,5,13298,12,UPI,251,8834.4
128,2023/05/05,6822,Aditya Iyer,South,Chennai,Clothing,Kurti,Kurti - Model 717,3,1092,26,UPI,192,587.53
129,2023/08/18,7977,Aarav Singh,North,Delhi,Electronics,Laptop,Laptop - Model 794,3,25254,26,Credit Card,295,21317.41
130,2023/05/25,7075,Priya Verma,North,Chandigarh,Sports,Cricket Gear,Cricket Gear - Model 943,1,16904,30,Credit Card,180,9096.76
131,2023/10/02,8226,Rohan Verma,East,Ranchi,Electronics,Headphones,Headphones - Model 459,1,47642,19,Debit Card,127,42197.02
132,2022/08/21,2840,Vivaan Sharma,East,Kolkata,Electronics,Mobile,Mobile - Model 538,3,23830,7,Debit Card,285,13695.95
133,2023/05/08,9886,Priya Reddy,North,Chandigarh,Sports,Fitness Equipment,Fitness Equipment - Model 214,5,16431,6,Credit Card,128,11100.37
134,2022/12/20,1933,Karan Reddy,East,Guwahati,Electronics,Smartwatch,Smartwatch - Model 924,1,16825,0,Credit Card,185,11422.37
135,2023/03/28,7284,Rohan Nair,East,Kolkata,Home,Kitchenware,Kitchenware - Model 806,5,13887,14,Credit Card,274,9265.62
136,2022/08/22,5292,Sneha Verma,North,Amritsar,Beauty,Fragrance,Fragrance - Model 218,1,770,2,COD,228,552.25
137,2023/11/10,3147,Aarav Nair,North,Jaipur,Beauty,Haircare,Haircare - Model 306,1,2137,8,COD,172,1208.03
138,2022/06/04,3910,Aditya Patel,West,Mumbai,Home,Decor,Decor - Model 676,2,1478,17,Credit Card,227,810.87
139,2023/03/08,2717,Neha Singh,North,Chandigarh,Beauty,Makeup,Makeup - Model 193,2,2701,2,COD,72,1911.87
140,2023/10/09,6947,Ishita Patel,East,Bhubaneswar,Sports,Cricket Gear,Cricket Gear - Model 941,2,8723,2,Debit Card,376,5161.71
141,2022/08/15,7019,Neha Kapoor,East,Kolkata,Home,Bedding,Bedding - Model 760,2,9276,24,UPI,200,6617.16
142,2023/03/07,4757,Sneha Gupta,West,Mumbai,Home,Decor,Decor - Model 662,1,15134,0,Credit Card,184,7590.94
143,2023/02/17,7297,Ananya Mehta,South,Hyderabad,Beauty,Makeup,Makeup - Model 432,3,4288,14,UPI,242,2946.81
144,2023/09/24,6054,Neha Gupta,East,Guwahati,Electronics,Smartwatch,Smartwatch - Model 981,4,27664,28,COD,203,19670.97
145,2023/07/08,5312,Ananya Nair,East,Guwahati,Beauty,Makeup,Makeup - Model 961,1,4186,21,COD,242,2559.84
146,2023/11/18,6011,Neha Singh,South,Hyderabad,Sports,Fitness Equipment,Fitness Equipment - Model 864,1,3457,15,Credit Card,123,2776.04
147,2023/03/25,9923,Ishita Sharma,North,Delhi,Clothing,Kurti,Kurti - Model 473,1,4818,9,COD,255,2422.92
148,2023/02/08,6500,Vivaan Patel,North,Jaipur,Clothing,Kurti,Kurti - Model 472,2,3520,12,Debit Card,331,2848.35
149,2022/03/26,2970,Ishita Reddy,East,Kolkata,Home,Kitchenware,Kitchenware - Model 177,1,16916,23,Debit Card,51,9848.5
150,2023/04/30,3455,Ananya Sharma,South,Chennai,Clothing,Shirt,Shirt - Model 509,3,4679,7,Debit Card,141,3782.82
151,2023/02/15,2480,Priya Patel,North,Lucknow,Sports,Cycling,Cycling - Model 750,5,10555,27,Credit Card,409,6188.96
152,2022/06/24,6650,Sneha Mehta,East,Kolkata,Sports,Cricket Gear,Cricket Gear - Model 582,3,16616,15,UPI,311,13647.15
153,2023/05/28,8196,Sneha Mehta,East,Ranchi,Sports,Shoes,Shoes - Model 120,1,20512,12,Debit Card,296,15826.72
154,2022/06/20,6596,Vivaan Singh,North,Jaipur,Electronics,Smartwatch,Smartwatch - Model 659,3,67054,3,Debit Card,181,38115.28
155,2022/09/13,4856,Vivaan Nair,South,Kochi,Home,Decor,Decor - Model 254,4,7860,0,Debit Card,475,6215.18
156,2022/03/27,6400,Priya Iyer,West,Jaipur,Sports,Fitness Equipment,Fitness Equipment - Model 488,3,16734,30,COD,351,10692.62
157,2023/07/26,4058,Aarav Kapoor,North,Chandigarh,Beauty,Skincare,Skincare - Model 669,2,3588,30,Credit Card,177,2657.46
158,2023/03/18,6523,Ananya Kapoor,North,Amritsar,Clothing,Jeans,Jeans - Model 622,2,2427,28,UPI,108,1347.68
159,2023/12/16,6483,Karan Gupta,East,Ranchi,Beauty,Skincare,Skincare - Model 857,3,493,23,UPI,459,310.63
160,2023/09/06,6675,Rohan Nair,South,Hyderabad,Beauty,Haircare,Haircare - Model 725,4,1037,29,Credit Card,467,880.16
161,2023/09/24,2299,Aditya Kapoor,East,Bhubaneswar,Clothing,Kurti,Kurti - Model 337,2,3551,0,Credit Card,195,2276.99
162,2023/07/10,4831,Ananya Singh,East,Ranchi,Electronics,Smartwatch,Smartwatch - Model 854,4,36213,3,COD,130,29790.04
163,2022/01/07,5481,Ananya Nair,North,Lucknow,Beauty,Haircare,Haircare - Model 664,1,2090,12,UPI,344,1316.79
164,2023/07/12,7003,Ishita Reddy,North,Delhi,Clothing,Jacket,Jacket - Model 735,2,4523,16,UPI,423,2840.43
165,2022/03/03,6590,Ishita Singh,South,Kochi,Beauty,Haircare,Haircare - Model 657,4,4263,14,Debit Card,193,2669.97
166,2023/07/27,3578,Aarav Sharma,East,Patna,Home,Bedding,Bedding - Model 906,3,11112,16,UPI,80,6054.89
167,2023/05/17,7563,Aditya Patel,East,Guwahati,Home,Kitchenware,Kitchenware - Model 227,1,6681,26,Credit Card,90,3640.64
168,2023/07/01,5190,Sneha Singh,East,Bhubaneswar,Clothing,Kurti,Kurti - Model 116,1,1352,3,COD,67,747.35
169,2022/08/19,5716,Ananya Mehta,East,Bhubaneswar,Beauty,Haircare,Haircare - Model 793,4,2541,20,Debit Card,382,1547.62
170,2022/02/07,9706,Ananya Nair,South,Bangalore,Electronics,Mobile,Mobile - Model 880,3,14147,18,Credit Card,233,11542.77
171,2023/09/03,6955,Sneha Iyer,West,Ahmedabad,Sports,Shoes,Shoes - Model 528,2,23300,9,COD,59,20074.99
172,2022/05/08,6347,Priya Kapoor,North,Amritsar,Home,Decor,Decor - Model 985,1,5704,7,Debit Card,256,4741.22
173,2023/09/27,2366,Sneha Singh,South,Hyderabad,Sports,Cricket Gear,Cricket Gear - Model 900,2,6708,9,UPI,315,3408.18
174,2022/08/17,4416,Rohan Patel,North,Amritsar,Clothing,Kurti,Kurti - Model 281,3,4092,15,UPI,109,2081.47
175,2022/07/27,1384,Rohan Gupta,North,Chandigarh,Electronics,Mobile,Mobile - Model 413,1,22798,3,Debit Card,160,11729.99
176,2022/02/26,3669,Neha Patel,South,Hyderabad,Home,Furniture,Furniture - Model 354,4,11319,7,Debit Card,435,7950.68
177,2023/01/13,8820,Priya Iyer,North,Lucknow,Beauty,Haircare,Haircare - Model 585,3,2408,26,COD,213,1633.53
178,2023/07/24,9797,Aarav Verma,South,Coimbatore,Home,Bedding,Bedding - Model 932,3,14954,20,Debit Card,58,10974.56
179,2023/05/21,2477,Priya Kapoor,North,Amritsar,Sports,Cricket Gear,Cricket Gear - Model 668,1,8916,19,Credit Card,437,6570
180,2022/05/20,2153,Priya Kapoor,East,Patna,Electronics,Headphones,Headphones - Model 170,2,22481,7,Credit Card,144,16838.29
181,2023/07/24,1109,Aarav Reddy,North,Lucknow,Electronics,Mobile,Mobile - Model 873,2,7939,11,UPI,373,6473.87
182,2023/12/18,3424,Ishita Sharma,South,Bangalore,Sports,Shoes,Shoes - Model 141,2,24869,10,UPI,450,21831.47
183,2022/02/24,3854,Aditya Reddy,North,Delhi,Home,Decor,Decor - Model 641,4,9932,21,UPI,446,8350.01
184,2023/07/24,6775,Vivaan Kapoor,North,Chandigarh,Clothing,Jacket,Jacket - Model 198,4,3321,8,COD,423,1943.99
185,2022/09/30,1586,Neha Singh,North,Jaipur,Sports,Fitness Equipment,Fitness Equipment - Model 846,4,15655,1,COD,187,8338.4
186,2023/03/02,6368,Neha Iyer,South,Kochi,Clothing,Shirt,Shirt - Model 688,2,3920,28,UPI,466,2112.38
187,2022/10/14,9756,Neha Nair,West,Ahmedabad,Beauty,Makeup,Makeup - Model 484,2,4041,16,UPI,319,2969.93
188,2023/09/04,8554,Neha Reddy,West,Surat,Electronics,Laptop,Laptop - Model 299,2,21208,8,COD,429,12034.44
189,2022/03/06,4399,Neha Mehta,South,Kochi,Sports,Fitness Equipment,Fitness Equipment - Model 514,4,4795,16,UPI,169,3181.58
190,2023/10/13,1738,Sneha Mehta,South,Coimbatore,Home,Bedding,Bedding - Model 471,3,11725,14,Debit Card,187,8923.23
191,2023/01/30,4240,Karan Reddy,North,Amritsar,Electronics,Laptop,Laptop - Model 177,1,56554,4,UPI,108,33516.11
192,2023/06/13,2341,Vivaan Gupta,North,Amritsar,Beauty,Skincare,Skincare - Model 145,1,3798,3,COD,299,2851.15
193,2023/06/25,6710,Aditya Nair,North,Lucknow,Beauty,Fragrance,Fragrance - Model 437,2,4372,24,Credit Card,427,2301.77
194,2022/09/23,8116,Ananya Reddy,East,Patna,Beauty,Makeup,Makeup - Model 410,3,1051,26,Credit Card,196,899.04
195,2022/08/20,3828,Rohan Gupta,West,Surat,Beauty,Fragrance,Fragrance - Model 294,4,2354,7,UPI,402,1275.54
196,2023/10/17,5733,Rohan Gupta,North,Lucknow,Beauty,Fragrance,Fragrance - Model 324,3,4675,23,UPI,349,3190.07
197,2023/08/08,5519,Ishita Mehta,East,Guwahati,Clothing,Jacket,Jacket - Model 882,4,1779,0,UPI,210,1035.5
198,2023/01/23,7891,Priya Nair,North,Amritsar,Electronics,Smartwatch,Smartwatch - Model 241,1,7801,18,COD,455,5865.91
199,2022/11/11,6394,Ishita Gupta,West,Mumbai,Sports,Fitness Equipment,Fitness Equipment - Model 261,2,24850,0,Debit Card,387,17065.07
200,2023/02/13,8698,Vivaan Mehta,South,Coimbatore,Home,Decor,Decor - Model 861,3,7577,11,Credit Card,396,5379.91
201,2022/11/14,4010,Priya Mehta,South,Kochi,Beauty,Skincare,Skincare - Model 392,1,3713,25,COD,409,2117.58
202,2023/06/19,6299,Ananya Singh,North,Lucknow,Clothing,Jeans,Jeans - Model 699,3,4050,8,UPI,290,3598.45
203,2022/10/04,7323,Aditya Kapoor,North,Amritsar,Beauty,Skincare,Skincare - Model 854,4,1537,22,UPI,264,795.28
